Symbol,Weight,EntryDate,EntryPrice,Shares,GrossValue,TransactionCost
ATGL,0.1,2021-01-04T00:00:00.000000,380.05,26286.014998026574,10000000.0,10000.0
CGPOWER,0.1,2021-01-04T00:00:00.000000,44.75,223240.22346368714,10000000.0,10000.0
PGEL,0.1,2021-01-04T00:00:00.000000,14.19,704016.9133192389,10000000.0,10000.0
ADANIENSOL,0.1,2021-01-04T00:00:00.000000,437.25,22847.341337907375,10000000.0,10000.0
TATASTEEL,0.1,2021-01-04T00:00:00.000000,64.9,153929.12172573188,10000000.0,10000.0
SHRIRAMFIN,0.1,2021-01-04T00:00:00.000000,216.8,46079.33579335793,10000000.0,10000.0
ADANIGREEN,0.1,2021-01-04T00:00:00.000000,1088.4,9178.610804851156,10000000.0,10000.0
INDUSINDBK,0.1,2021-01-04T00:00:00.000000,910.0,10978.021978021978,10000000.0,10000.0
SAIL,0.1,2021-01-04T00:00:00.000000,75.5,132317.88079470198,10000000.0,10000.0
WOCKPHARMA,0.1,2021-01-04T00:00:00.000000,506.82,19711.140049721795,10000000.0,10000.0
