Symbol,Status,Rows,StartDate,EndDate,NullValues,DuplicateDates,InvalidOHLCRows,NonPositivePrices,NonPositiveVolumeRows,LargeSingleDayMoves
360ONE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
AARTIIND,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
ABB,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
ABCAPITAL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
ABREL,OK,1610,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
ADANIENSOL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,8
ADANIENT,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,11
ADANIGREEN,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,7
ADANIPORTS,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
ADANIPOWER,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,10
AEGISLOG,OK,1610,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
AFCONS,OK,408,2024-11-04T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
AFFLE,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
ALKEM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
AMBER,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
AMBUJACEM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
ANANDRATHI,OK,1126,2021-12-14T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
ANANTRAJ,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,10
ANGELONE,OK,1422,2020-10-05T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,6
APLAPOLLO,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
APOLLOHOSP,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
APTUS,OK,1201,2021-08-24T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
ARE&M,OK,1610,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
ASHOKLEY,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
ASIANPAINT,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
ASTERDM,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
ASTRAL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
ATGL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,16
ATHERENERG,OK,286,2025-05-06T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
AUBANK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
AUROPHARMA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
AXISBANK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
BAJAJ-AUTO,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
BAJAJFINSV,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
BAJAJHLDNG,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
BAJFINANCE,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
BANDHANBNK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,6
BANKBARODA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
BANKINDIA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
BDL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
BEL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
BEML,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,8
BHARATFORG,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
BHARTIARTL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
BHEL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
BIOCON,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
BLS,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,10
BLUESTARCO,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
BOSCHLTD,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
BPCL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
BRIGADE,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
BRITANNIA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
BSE,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
CAMS,OK,1422,2020-10-05T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
CANBK,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
CASTROLIND,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
CDSL,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
CESC,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
CGCL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,10
CGPOWER,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
CHAMBLFERT,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
CHOLAFIN,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
CHOLAHLDNG,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
CIPLA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
COALINDIA,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
COCHINSHIP,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,7
COFORGE,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
COHANCE,OK,1563,2020-03-09T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,5
COLPAL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
CONCOR,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
COROMANDEL,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
CREDITACC,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,3
CROMPTON,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
CUB,OK,1612,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
CUMMINSIND,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
DABUR,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
DATAPATTNS,OK,1117,2021-12-24T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
DEEPAKFERT,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,4
DELHIVERY,OK,1016,2022-05-24T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,2
DEVYANI,OK,1206,2021-08-16T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
DIVISLAB,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
DIXON,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,1
DLF,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
DMART,OK,1611,2020-01-01T00:00:00.000000,2026-06-30T00:00:00.000000,0,0,0,0,0,0
