Rank,Symbol,Universe,Weight,CompositeScore,MomentumScore,RelativeStrengthScore,TrendScore,52WHighScore,VolumeScore,Volatility,CorrelationToPortfolio,ExpectedRole
1,ATGL,nse_midcap_100,0.1,1.0,1.0,0.9586776859504132,0.9793388429752067,0.7521008403361344,0.6974789915966386,0.5882124468927671,0.2934431635316417,Core Holding
2,CGPOWER,nse_100,0.1,0.9958847736625516,0.9958847736625516,1.0,1.0,0.3487394957983193,0.9411764705882353,0.5778202691089267,0.14073272217260913,Core Holding
3,PGEL,nse_smallcap_100,0.1,0.9917695473251029,0.9917695473251029,0.9917355371900827,0.9958677685950413,0.24789915966386553,0.9495798319327731,0.6072885777054301,0.09924221363263303,Core Holding
4,ADANIENSOL,nse_100,0.1,0.9876543209876544,0.9876543209876544,0.7975206611570248,0.9173553719008265,0.6512605042016807,0.5588235294117647,0.46940937206885386,0.2856995159283205,Growth Contributor
5,TATASTEEL,nse_100,0.1,0.9835390946502058,0.9835390946502058,0.9049586776859504,0.8305785123966942,0.8529411764705882,0.7899159663865546,0.35974005697080974,0.3164944163027145,Growth Contributor
6,SHRIRAMFIN,nse_100,0.1,0.9794238683127573,0.9794238683127573,0.7396694214876033,0.6942148760330579,0.24369747899159663,0.7058823529411764,0.4994934915331923,0.22916454857063057,Growth Contributor
7,ADANIGREEN,nse_100,0.1,0.9753086419753088,0.9753086419753088,0.9793388429752067,0.9917355371900827,0.38655462184873945,0.6260504201680672,0.5247512851663668,0.16371333006958502,Growth Contributor
8,INDUSINDBK,nse_midcap_100,0.1,0.9711934156378602,0.9711934156378602,0.8801652892561984,0.9214876033057852,0.01680672268907563,0.5756302521008403,0.528696959902633,0.2615741849132564,Diversifier
9,SAIL,nse_midcap_100,0.1,0.9670781893004116,0.9670781893004116,0.9545454545454546,0.5661157024793388,0.9411764705882353,0.9873949579831932,0.4730195990492537,0.28225202458931453,Diversifier
10,WOCKPHARMA,nse_smallcap_100,0.1,0.962962962962963,0.962962962962963,0.9173553719008265,0.7727272727272727,0.6596638655462185,0.9369747899159664,0.5846605249960495,0.18429870071315105,Diversifier
