Model,Symbols,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
momentum_6m,"CGPOWER, PGEL, LAURUSLABS, ADANIGREEN, ADANIENT, GPIL, AFFLE, ATGL, POONAWALLA, NEULANDLAB",10000000,103301555.4518027,93301555.4518027,9.38140124700805,0.5985465939271655,0.31926424936806536,-0.2963474264809297,1.6541930422218851,2.080445711039093,0.9915647298048699,0.5788197251414713
momentum_relative_strength,"CGPOWER, LAURUSLABS, ADANIGREEN, PGEL, ADANIENT, AFFLE, DIXON, ATGL, NEULANDLAB, GPIL",10000000,96304868.1991373,86304868.1991373,8.652045851685198,0.5753723553723387,0.32954822891507657,-0.32928397393551556,1.5675558940517011,1.9469369118435558,1.0121577161393611,0.5715440582053355
relative_strength,"CGPOWER, LAURUSLABS, PGEL, GPIL, ADANIENT, ADANIGREEN, FSL, APLAPOLLO, AFFLE, KPITTECH",10000000,92362941.76067661,82362941.76067661,8.217434554106367,0.5608890096500141,0.31600915765702103,-0.3326924116774479,1.5907442172675548,1.9819655870600643,0.941961976387596,0.5901374292643492
momentum_12_1,"ADANIGREEN, LAURUSLABS, CGPOWER, DIXON, PGEL, NAVINFLUOR, TATACOMM, NEULANDLAB, AFFLE, CDSL",10000000,88868704.64863347,78868704.64863347,7.945117312121731,0.5515334471832736,0.32937478801668196,-0.3363677148878246,1.519807659224306,1.9732076068618754,1.0629456216068702,0.5602263540824576
trend_strength,"CGPOWER, PGEL, ADANIGREEN, ADANIENT, GPIL, ATGL, APLAPOLLO, LAURUSLABS, TATAELXSI, AFFLE",10000000,85260557.02733445,75260557.02733445,7.520406196065387,0.5364772652574044,0.32372596107922763,-0.3476375937465044,1.5110721705075365,1.8920233362395653,0.9834447581468075,0.5755860953920776
momentum_trend,"ADANIGREEN, CGPOWER, PGEL, LAURUSLABS, ADANIENT, DIXON, ATGL, AFFLE, TATAELXSI, GPIL",10000000,85243585.20020096,75243585.20020096,7.541498723244883,0.5372390055709781,0.32774861184795934,-0.3468754697061438,1.4980391002627953,1.8652717308202662,0.9522503922244648,0.5828617623282134
composite_quantitative,"GPIL, ADANIENT, ATGL, CGPOWER, TATAELXSI, DIXON, AFFLE, PGEL, ADANIGREEN, LAURUSLABS",10000000,85243585.20020096,75243585.20020096,7.541498723244882,0.5372390055709779,0.32774861184795934,-0.3468754697061439,1.4980391002627949,1.8652717308202662,0.9522503922244648,0.5828617623282134
multi_horizon_momentum,"CGPOWER, PGEL, ADANIGREEN, ATGL, ADANIENT, GPIL, AFFLE, WOCKPHARMA, TATAELXSI, DIXON",10000000,84982340.72119763,74982340.72119763,7.565634356778647,0.5381088024347156,0.3333523000532399,-0.35004182762776725,1.4799093640595873,1.8455757117024876,0.9602566957566354,0.5804365400161682
risk_adjusted_momentum,"ADANIGREEN, LAURUSLABS, CGPOWER, DIXON, NAVINFLUOR, TATACOMM, PGEL, DIVISLAB, TATAELXSI, AUROPHARMA",10000000,73014522.57643718,63014522.576437175,6.325531498736577,0.4906349273189359,0.2888108442132247,-0.37196150093909786,1.5504943855920907,2.0897653829725042,1.0327224167619102,0.561034761519806
momentum_3m,"ATGL, CGPOWER, PGEL, ADANIENSOL, TATASTEEL, SHRIRAMFIN, ADANIGREEN, INDUSINDBK, SAIL, WOCKPHARMA",10000000,72841063.28546068,62841063.28546068,6.312171184133742,0.4900895368262892,0.32382112869428864,-0.380303147431557,1.4154583605934627,1.8562499180314687,1.026455486905903,0.5561843168957155
volume_confirmation,"APLAPOLLO, KPITTECH, GPIL, SAIL, ADANIENT, CHOLAFIN, SARDAEN, PERSISTENT, GMDCLTD, LALPATHLAB",10000000,69304639.88489339,59304639.88489339,5.700738965438313,0.4642321655203936,0.2566844184842007,-0.2954151352535399,1.6397250890768469,2.159563841475098,0.9934498778791252,0.570735650767987
technical_composite,"GPIL, ADANIENT, CHOLAFIN, DIXON, PERSISTENT, HBLENGINE, APLAPOLLO, CGCL, WOCKPHARMA, LTM",10000000,66356182.93758637,56356182.93758637,5.582481981947959,0.4590149138141322,0.2487473431535704,-0.26145272980527723,1.6694501570390128,2.151607644246135,0.9509773089739019,0.5828617623282134
trend_quality,"GPIL, CHOLAFIN, TATAELXSI, ADANIENT, ATGL, CGCL, DIXON, KPITTECH, JSWSTEEL, LAURUSLABS",10000000,44579423.97483962,34579423.97483962,3.4087207746050403,0.3463659003683883,0.2416007511631711,-0.37566163979277134,1.3733026679358444,1.7137499125734046,0.8983359082507955,0.5852869846402587
breakout,"SUZLON, CHOLAFIN, BEL, ADANIPORTS, SRF, LALPATHLAB, GPIL, BAJAJ-AUTO, DMART, INFY",10000000,44218133.69793803,34218133.69793803,3.3579698149864834,0.34324453599255045,0.4414091892103279,-0.4995575381879782,0.8762822658532482,1.2117977005269271,1.0615290975177538,0.5545675020210186
high_52w,"SUZLON, CHOLAFIN, BEL, ADANIPORTS, SRF, GPIL, LALPATHLAB, DMART, BAJAJ-AUTO, ASIANPAINT",10000000,43941268.985138796,33941268.985138796,3.3413783840036047,0.3422178005504677,0.4437966439536154,-0.5028399656983704,0.8719022319540577,1.2017359604326863,1.0433848312337188,0.5586095392077607
