SignalFamily,LookbackDays,FormationDate,InitialCapital,FinalValue,NetPnL,TotalReturn,CAGR,AnnualizedVolatility,MaxDrawdown,Sharpe,Sortino,GainLossRatio,WinRate
3M,50,2021-01-01T00:00:00.000000,100000000,848866627.9674096,748866627.9674096,7.460813341020014,0.4760972286634846,0.32434093701551525,-0.40925802025350133,1.3868353452805953,1.797298780089751,1.023311087983104,0.5556374355195284
3M,50,2021-07-01T00:00:00.000000,100000000,555218875.5714711,455218875.5714711,4.517094051308299,0.40774847410410353,0.3322966625598954,-0.5297853764086422,1.2158959884856846,1.7090509568042254,0.9757728826084868,0.5578947368421052
3M,50,2022-01-01T00:00:00.000000,100000000,544428413.6616242,444428413.6616242,4.423902928862517,0.45760850451982327,0.2529191987730738,-0.24180533055939135,1.6469554982772192,2.209432312588107,0.9516364750879178,0.5825067628494139
3M,50,2022-07-01T00:00:00.000000,100000000,345994146.4479692,245994146.4479692,2.4628430423095744,0.36530109030694247,0.26676429391012696,-0.2878936054998015,1.3259083801218057,1.7238368933265096,0.9344012503102612,0.5736040609137056
3M,50,2023-01-01T00:00:00.000000,100000000,364496564.48694813,264496564.48694813,2.6227653500722625,0.4459343546396648,0.3447343020608294,-0.44329703359917616,1.2654058081769277,1.7433521556917362,1.0396199529694556,0.5464037122969838
3M,50,2023-07-01T00:00:00.000000,100000000,542574433.8463538,442574433.84635377,4.388774665913996,0.755672420293378,0.4273446235698139,-0.3091577363024478,1.683676024132759,3.561273559254869,1.0934252090361194,0.5761689291101055
3M,50,2024-01-01T00:00:00.000000,100000000,252536704.43382567,152536704.43382567,1.5275857720830235,0.4508934772491069,0.2768120767778398,-0.29352901836446144,1.5120606911985965,2.20278404871364,1.021899980175435,0.5577235772357724
3M,50,2024-07-01T00:00:00.000000,100000000,101608948.93599297,1608948.935992971,0.02985194322743312,0.014867467768522769,0.2954941177510788,-0.29761394089256044,0.1985834321478615,0.2991143841439933,0.9148226349736511,0.5304878048780488
3M,50,2025-01-01T00:00:00.000000,100000000,108880543.48150945,8880543.481509447,0.08704014989859843,0.05763507583065519,0.25668991337881325,-0.23064814023461977,0.35150964288110303,0.5169683865380938,0.9560414782204708,0.5258855585831063
3M,63,2021-01-01T00:00:00.000000,100000000,868380132.412434,768380132.412434,7.744928404191276,0.4850143169800911,0.31791392266994756,-0.41678429070690004,1.4276372414852565,1.8458366877453356,1.021101461482801,0.5578481945467944
3M,63,2021-07-01T00:00:00.000000,100000000,313515491.92858744,213515491.92858744,2.1289262210533404,0.2566122346698525,0.30595345898830306,-0.5795967574245515,0.9151212601852949,1.2122129142736318,0.9871350930038532,0.5433198380566802
3M,63,2022-01-01T00:00:00.000000,100000000,496166626.03204226,396166626.03204226,3.951473650141603,0.42830543796713805,0.25362200285326963,-0.23030559946023454,1.5612254232780414,2.1160492833526505,0.9667064586738601,0.5752930568079351
3M,63,2022-07-01T00:00:00.000000,100000000,379468693.1065671,279468693.1065671,2.78387900239942,0.3959857098165507,0.28353248635562206,-0.27498280903047123,1.3440219193938163,1.7033790156395714,0.9214289470217583,0.5786802030456852
3M,63,2023-01-01T00:00:00.000000,100000000,347793966.425647,247793966.42564702,2.471883930848761,0.4284203547415537,0.3538297413106453,-0.42773010482814433,1.2059921601694434,1.7631564452608917,1.1428784138527273,0.5197215777262181
3M,63,2023-07-01T00:00:00.000000,100000000,479948984.14687943,379948984.14687943,3.804509078402389,0.6896160186030447,0.294912111125842,-0.3442561058364151,1.9649389245971913,2.655834742790957,1.0198136732188654,0.5764546684709067
3M,63,2024-01-01T00:00:00.000000,100000000,257558465.81364173,157558465.81364173,1.2501659524474915,0.4072817080608748,0.2848981205824124,-0.2842204383231093,1.36943304412498,2.0427697042790953,1.0336566059419947,0.5487179487179488
3M,63,2024-07-01T00:00:00.000000,100000000,116149766.52755783,16149766.527557835,0.17113509430883123,0.0824835320604167,0.28962861217490293,-0.36573821124514283,0.4238959787151111,0.6756682671714946,0.9719804830983649,0.524390243902439
3M,63,2025-01-01T00:00:00.000000,100000000,107863541.32971507,7863541.329715073,0.08741129618555465,0.05787751475424674,0.28009166430351407,-0.24780389121209478,0.34537523265483816,0.5005143018657755,1.0315240849515601,0.5068119891008175
3M,75,2021-01-01T00:00:00.000000,100000000,834367883.2050878,734367883.2050878,7.370196932152769,0.4732016938813268,0.3458722282072522,-0.4028939858018441,1.3152067699952739,1.6646262510686538,0.9924775996950344,0.5630066322770818
3M,75,2021-07-01T00:00:00.000000,100000000,261251019.16475978,161251019.16475978,1.5985975158708072,0.2107378632824135,0.29195151792907903,-0.5027462585139941,0.8148929478474276,1.0245250792726386,0.8827594588268438,0.5659919028340081
3M,75,2022-01-01T00:00:00.000000,100000000,458198347.2027762,358198347.2027762,3.5440936070098896,0.4012372135385718,0.27182924381351536,-0.27576076931515436,1.4014213691225155,1.8886380412090864,0.9596002802475638,0.5702702702702702
3M,75,2022-07-01T00:00:00.000000,100000000,309177365.79113805,209177365.79113805,2.0822824617727616,0.326030893850912,0.2734226484597606,-0.3439544212649639,1.1913593491482788,1.5289038727179003,0.9110234015615102,0.5746192893401015
3M,75,2023-01-01T00:00:00.000000,100000000,382399457.29890066,282399457.29890066,2.7958193054503373,0.46539260653519365,0.34782870529203,-0.44279592314721505,1.2959235294232072,1.8757558910006455,1.087159052935367,0.5359628770301624
3M,75,2023-07-01T00:00:00.000000,100000000,458590113.5658116,358590113.5658116,3.546747539593058,0.6587663158189381,0.27794619493843165,-0.3197894076163461,1.9993083071465518,2.668132976678501,0.9534318975915004,0.5940460081190798
3M,75,2024-01-01T00:00:00.000000,100000000,220944051.12604403,120944051.12604403,1.2142367682161126,0.3758270129249299,0.278693949302072,-0.30965890858498846,1.3091478874923366,1.8262888011841663,0.9877883729528731,0.5577235772357724
3M,75,2024-07-01T00:00:00.000000,100000000,122469922.50069495,22469922.500694945,0.2325594893820564,0.11060561528954249,0.2672736632952973,-0.3093169620226557,0.5343906189344151,0.8396598443698094,0.9394165208762996,0.5365853658536586
3M,75,2025-01-01T00:00:00.000000,100000000,104546563.0205049,4546563.020504907,0.04882438849805837,0.03252402214384764,0.28727185661356064,-0.23980043552252372,0.25714652887376416,0.40146433321256647,1.1323965840515287,0.47956403269754766
6M,100,2021-01-01T00:00:00.000000,100000000,1033142234.8148016,933142234.8148016,9.225557316416259,0.5279808425832722,0.3262590947482605,-0.3161148971336276,1.4876107805200822,1.8848596294524051,0.973717189318125,0.5755342667649226
6M,100,2021-07-01T00:00:00.000000,100000000,400784722.17674613,300784722.17674613,3.013705047993361,0.32086366014343004,0.32736977607438206,-0.4119588282209372,1.0319422870661266,1.2586967049487048,0.9339361348950028,0.562753036437247
6M,100,2022-01-01T00:00:00.000000,100000000,333049516.7965785,233049516.79657853,2.299861515652325,0.30480738519559925,0.27132830556440724,-0.3186874424838778,1.1353922893491462,1.6033415309179175,0.9368285034166746,0.563963963963964
