Symbol,Weight,EntryDate,EntryPrice,ExitDate,ExitPrice,Return,PnL,ContributionShare
CGPOWER,0.1,2026-01-01T00:00:00.000000,650.0,2026-06-30T00:00:00.000000,952.15,0.4648461538461539,464381.30769230775,0.20434720944771748
ADANIGREEN,0.1,2026-01-01T00:00:00.000000,1019.7,2026-06-30T00:00:00.000000,1492.2,0.4633715798764342,462908.2082965579,0.20369898406531242
ADANIENSOL,0.1,2026-01-01T00:00:00.000000,1029.0,2026-06-30T00:00:00.000000,1491.4,0.44936831875607397,448918.95043731784,0.19754312516568082
WOCKPHARMA,0.1,2026-01-01T00:00:00.000000,1438.0,2026-06-30T00:00:00.000000,1941.4,0.3500695410292074,349719.47148817824,0.1538912029928021
ATGL,0.1,2026-01-01T00:00:00.000000,567.35,2026-06-30T00:00:00.000000,731.55,0.28941570459152177,289126.2888869303,0.12722766686200424
SAIL,0.1,2026-01-01T00:00:00.000000,147.1,2026-06-30T00:00:00.000000,173.49,0.17940176750509873,179222.36573759373,0.07886534126684044
INDUSINDBK,0.1,2026-01-01T00:00:00.000000,865.45,2026-06-30T00:00:00.000000,924.2,0.067883759893697,67815.87613380328,0.029841823550264133
SHRIRAMFIN,0.1,2026-01-01T00:00:00.000000,996.2,2026-06-30T00:00:00.000000,1042.15,0.046125276048986086,46079.150772937224,0.020276754723317494
TATASTEEL,0.1,2026-01-01T00:00:00.000000,180.6,2026-06-30T00:00:00.000000,188.06,0.041306755260243744,41265.44850498345,0.01815852427503195
PGEL,0.1,2026-01-01T00:00:00.000000,577.9,2026-06-30T00:00:00.000000,533.4,-0.07700294168541266,-76925.93874372728,-0.03385063234897107
