Symbol,Weight,EntryDate,EntryPrice,Shares,GrossValue,TransactionCost
ATGL,0.1,2026-01-01T00:00:00.000000,567.35,1760.8178373138273,1000000.0,1000.0
CGPOWER,0.1,2026-01-01T00:00:00.000000,650.0,1536.923076923077,1000000.0,1000.0
PGEL,0.1,2026-01-01T00:00:00.000000,577.9,1728.6727807579166,1000000.0,1000.0
ADANIENSOL,0.1,2026-01-01T00:00:00.000000,1029.0,970.8454810495626,1000000.0,1000.0
TATASTEEL,0.1,2026-01-01T00:00:00.000000,180.6,5531.56146179402,1000000.0,1000.0
SHRIRAMFIN,0.1,2026-01-01T00:00:00.000000,996.2,1002.8106805862276,1000000.0,1000.0
ADANIGREEN,0.1,2026-01-01T00:00:00.000000,1019.7,979.6999117387467,1000000.0,1000.0
INDUSINDBK,0.1,2026-01-01T00:00:00.000000,865.45,1154.312785256225,1000000.0,1000.0
SAIL,0.1,2026-01-01T00:00:00.000000,147.1,6791.298436437798,1000000.0,1000.0
WOCKPHARMA,0.1,2026-01-01T00:00:00.000000,1438.0,694.7148817802504,1000000.0,1000.0
