Symbol,Weight,EntryDate,EntryPrice,Shares,GrossValue,TransactionCost
ADANIGREEN,0.1,2021-01-04T00:00:00.000000,1088.4,917.8610804851157,1000000.0,1000.0
LAURUSLABS,0.1,2021-01-04T00:00:00.000000,355.7,2808.546527973011,1000000.0,1000.0
CGPOWER,0.1,2021-01-04T00:00:00.000000,44.75,22324.022346368714,1000000.0,1000.0
DIXON,0.1,2021-01-04T00:00:00.000000,2742.0,364.33260393873087,1000000.0,1000.0
PGEL,0.1,2021-01-04T00:00:00.000000,14.19,70401.6913319239,1000000.0,1000.0
NAVINFLUOR,0.1,2021-01-04T00:00:00.000000,2635.15,379.10555376354284,1000000.0,1000.0
TATACOMM,0.1,2021-01-04T00:00:00.000000,1106.2,903.0916651600072,1000000.0,1000.0
NEULANDLAB,0.1,2021-01-04T00:00:00.000000,1095.0,912.3287671232877,1000000.0,1000.0
AFFLE,0.1,2021-01-04T00:00:00.000000,777.0,1285.7142857142858,1000000.0,1000.0
CDSL,0.1,2021-01-04T00:00:00.000000,267.1,3740.1722201422685,1000000.0,1000.0
